Experiment parameters,,,,
parameter,value,,,
title,Seddelgjenkjenning: Brukertest,,,
experiment type,Category Judgement,,,
delay between stimuli switching,200ms,,,
Background colour,#808080,,,
Stimuli spacing,15px,,,
Same pair twice (flipped),no,,,
Show original,no,,,
,,,,
Image sets,,,,
set name,file name,,,
Upscaled - riktig,Upscale_00001_.png,,,
Upscaled - riktig,Upscale_00002_.png,,,
Upscaled - riktig,Upscale_00004_.png,,,
Upscaled - riktig,Upscale_00008_.png,,,
Upscaled - riktig,VeryGoodExample.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00323_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00021_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00024_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00025_.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00173_.png,,,
3253,8159,Upscale_00004_.png,Trolig ekte,18
3253,8159,669b85b6f3f69.png,Helt sikker ekte,18
3253,8159,VeryGoodExample.png,Trolig falsk,17
3253,8159,Lora-test_00005_.png,Helt sikker falsk,16
3253,8159,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,16
3253,8159,New-dataset_batch_00173_.png,Trolig falsk,17
3253,8159,s-l120016_2.png,Helt sikker ekte,16
3253,8159,generated_187.png,Trolig ekte,19
3253,8159,generated_140.png,Usikker,18
3253,8159,generated_49.png,Usikker,20
3253,8159,Lora-test_00002_.png,Helt sikker falsk,16
3253,8159,Upscale_00002_.png,Trolig falsk,13
3253,8159,generated_88.png,Usikker,17
3253,8159,Upscale_00008_.png,Trolig ekte,18
3253,8159,New-dataset_batch_00323_.png,Usikker,17
3253,8159,generated_57.png,Trolig falsk,16
3253,8159,Lora-test_00004_.png,Helt sikker falsk,8
3253,8159,Upscale_00001_.png,Trolig falsk,16
3253,8159,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Helt sikker ekte,16
3253,8159,367641-alexfas01.png,Helt sikker ekte,9
3253,8159,s-l120012_1.png,Helt sikker ekte,10
3253,8159,Prompt-&-parameter-testing_00024_.png,Trolig falsk,13
3253,8159,Lora-test_00003_.png,Helt sikker falsk,5
3253,8159,Lora-test_00001_.png,Helt sikker falsk,7
3254,8162,Lora-test_00002_.png,Trolig falsk,31
3254,8162,367641-alexfas01.png,Trolig ekte,20
3254,8162,s-l120016_2.png,Helt sikker ekte,12
3254,8162,New-dataset_batch_00323_.png,Helt sikker falsk,13
3254,8162,generated_187.png,Helt sikker ekte,6
3254,8162,s-l120012_1.png,Usikker,14
3254,8162,generated_140.png,Trolig ekte,7
3254,8162,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,15
3254,8162,669b85b6f3f69.png,Trolig ekte,14
3254,8162,generated_49.png,Helt sikker falsk,5
3254,8162,Lora-test_00003_.png,Helt sikker falsk,5
3254,8162,Upscale_00002_.png,Helt sikker falsk,10
3254,8162,Upscale_00008_.png,Helt sikker falsk,7
3254,8162,generated_57.png,Helt sikker falsk,4
3254,8162,generated_88.png,Helt sikker falsk,3
3254,8162,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,17
3254,8162,Lora-test_00005_.png,Helt sikker falsk,6
3254,8162,Upscale_00004_.png,Trolig ekte,7
3254,8162,Prompt-&-parameter-testing_00024_.png,Helt sikker falsk,3
3254,8162,VeryGoodExample.png,Trolig ekte,5
3254,8162,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,6
3254,8162,Upscale_00001_.png,Trolig ekte,6
3254,8162,Lora-test_00001_.png,Helt sikker falsk,3
3254,8162,New-dataset_batch_00173_.png,Helt sikker falsk,2
3254,8162,Lora-test_00004_.png,Helt sikker falsk,3
3255,8163,generated_57.png,Helt sikker falsk,23
3255,8163,Upscale_00008_.png,Helt sikker falsk,7
3255,8163,Upscale_00001_.png,Trolig falsk,14
3255,8163,Lora-test_00003_.png,Trolig falsk,4
3255,8163,generated_88.png,Helt sikker falsk,6
3255,8163,Prompt-&-parameter-testing_00024_.png,Trolig ekte,11
3255,8163,Lora-test_00001_.png,Trolig ekte,8
3255,8163,VeryGoodExample.png,Usikker,18
3255,8163,669b85b6f3f69.png,Trolig ekte,7
3255,8163,Upscale_00004_.png,Trolig falsk,6
3255,8163,Lora-test_00002_.png,Helt sikker falsk,3
3255,8163,generated_187.png,Helt sikker falsk,2
3255,8163,New-dataset_batch_00323_.png,Trolig falsk,7
3255,8163,Prompt-&-parameter-testing_00021_.png,Trolig falsk,4
3255,8163,Upscale_00002_.png,Trolig falsk,3
3255,8163,generated_49.png,Helt sikker falsk,3
3255,8163,New-dataset_batch_00173_.png,Helt sikker falsk,3
3255,8163,Lora-test_00005_.png,Trolig falsk,13
3255,8163,s-l120016_2.png,Trolig ekte,12
3255,8163,s-l120012_1.png,Trolig ekte,9
3255,8163,generated_140.png,Helt sikker falsk,3
3255,8163,367641-alexfas01.png,Trolig ekte,10
3255,8163,Lora-test_00004_.png,Helt sikker falsk,4
3255,8163,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,4
3255,8163,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,11
3256,8164,Lora-test_00001_.png,Trolig falsk,15
3256,8164,s-l120012_1.png,Usikker,8
3256,8164,generated_88.png,Trolig falsk,17
3256,8164,669b85b6f3f69.png,Trolig ekte,9
3256,8164,s-l120016_2.png,Usikker,9
3256,8164,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,5
3256,8164,367641-alexfas01.png,Trolig ekte,10
3256,8164,New-dataset_batch_00323_.png,Helt sikker falsk,4
3256,8164,generated_49.png,Helt sikker falsk,9
3256,8164,Upscale_00002_.png,Helt sikker falsk,9
3256,8164,Lora-test_00005_.png,Usikker,12
3256,8164,Upscale_00008_.png,Helt sikker falsk,15
3256,8164,Upscale_00004_.png,Helt sikker falsk,15
3256,8164,generated_140.png,Trolig falsk,19
3256,8164,New-dataset_batch_00173_.png,Helt sikker falsk,6
3256,8164,Lora-test_00002_.png,Trolig falsk,16
3256,8164,Prompt-&-parameter-testing_00024_.png,Usikker,21
3256,8164,Upscale_00001_.png,Helt sikker falsk,10
3256,8164,generated_187.png,Usikker,18
3256,8164,VeryGoodExample.png,Helt sikker falsk,8
3256,8164,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,7
3256,8164,Lora-test_00004_.png,Helt sikker falsk,8
3256,8164,Lora-test_00003_.png,Helt sikker falsk,10
3256,8164,generated_57.png,Usikker,9
3256,8164,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,17
3258,8167,Lora-test_00002_.png,Helt sikker falsk,12
3258,8167,New-dataset_batch_00323_.png,Trolig falsk,31
3258,8167,Lora-test_00005_.png,Trolig falsk,22
3258,8167,Lora-test_00001_.png,Trolig falsk,21
3258,8167,Prompt-&-parameter-testing_00025_.png,Trolig falsk,13
3258,8167,Upscale_00001_.png,Trolig ekte,9
3258,8167,generated_49.png,Helt sikker falsk,11
3258,8167,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,19
3258,8167,Upscale_00002_.png,Trolig ekte,17
3258,8167,Prompt-&-parameter-testing_00021_.png,Trolig falsk,9
3258,8167,Prompt-&-parameter-testing_00024_.png,Trolig falsk,5
3258,8167,generated_88.png,Helt sikker falsk,6
3258,8167,Upscale_00004_.png,Trolig ekte,20
3258,8167,669b85b6f3f69.png,Trolig ekte,21
3258,8167,s-l120012_1.png,Trolig ekte,18
3258,8167,Lora-test_00003_.png,Helt sikker falsk,10
3258,8167,VeryGoodExample.png,Trolig falsk,18
3258,8167,s-l120016_2.png,Trolig ekte,21
